id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
2796,TIE BLACK/LAVENDER/ECRU,2796,,,
2797,TIE BLACK/GREEN TEA/NUDE,2797,,,
2798,TIE BLACK/ANTIQUE ECRU,2798,,,
2799,TIE TABACO/BLUE,2799,,,
2800,TIE BLACK/TABACO/SOFT YELLOW,2800,,,
2801,TIE TABACO/SOFT YELLOW,2801,,,
2802,TIE RUST/ANTIQUE ECRU,2802,,,
2803,ENDLESS BLACK,2803,,,
2804,NATURAL/TABASCO,2804,,,
2805,BLACK/ECRU/GOLD,2805,,,
2806,BLACK/ECRU/RUST,2806,,,
2807,BASILIC GREEN/MUSTARD/BLACK,2807,,,
2808,MILITARY GREEN/BLACK/ECRU,2808,,,
2809,CAMEL/ECRU/BLACK,2809,,,
2810,IKAT ECRU/BLACK/BORDEAUX,2810,,,
2811,OLIVE/CAMEL,2811,,,
2812,FAIR NAVY/BRICK,2812,,,
2813,IKAT BLACK/BORDEAUX,2813,,,
2814,BLACK/TABASCO,2814,,,
2815,BORDEAUX/BLACK/GOLD,2815,,,
2816,BASILIC GREEN/BLACK/GOLD,2816,,,
2817,DEEP LAVENDER/WINE/ANTIQUE ECRU,2817,,,
2818,BLACK/BORDEAUX/ANTIQUE ECRU,2818,,,
2819,TABACO/CAMEL/ANTIQUE ECRU,2819,,,
2820,MALACHITE GREEN/FRESSIA YELLOW/ANTIQUE ECRU,2820,,,
2821,BURNISHED,2821,,,
2822,BLACK/NAVY/ECRU,2822,,,
2823,MILITARY GREEN/BLACK/RUST,2823,,,
2824,PALM MIST GREEN/BLACK/GOLD,2824,,,
2825,BLACK/BASILIC GREEN/GOLD,2825,,,
2826,TABACO/BLACK/GOLD,2826,,,
2827,BRICK RED/BLACK/GOLD,2827,,,
2828,PALM MIST GREEN/GOLD,2828,,,
2829,NAVY/CAMEL/RUST,2829,,,
2830,SUZANI PALM MIST/TABACO,2830,,,
2831,SUZANI GREEN/BITTER RED,2831,,,
2832,FAIR MIDNIGHT/BRICK,2832,,,
2833,SUZANI MARSALA/BLACK/LILA,2833,,,
2834,FAIR TABASCO/SOFT YELLOW,2834,,,
2835,ANTIQUAIRE BLACK/JADE/BRICK,2835,,,
2836,"SUZANI MIDNIGHT/BRICK
",2836,,,
2837,GOLD/BLACK,2837,,,
2838,ECRU/BLACK/RUST,2838,,,
2839,BLACK/COBALT,2839,,,
2840,FAIR GREEN/HONEY,2840,,,
2841,BLACK/ECRU/GREEN,2841,,,
2842,SUZANI ECRU/BLACK,2842,,,
2843,ANTIQUAIRE BORDEAUX/FUCSIA,2843,,,
2844,LILA/BLACK/ECRU,2844,,,
2845,BLACK/BROWN/GREEN,2845,,,
2846,ECRU/BLACK/BLUE,2846,,,
2847,ECRU/BLACK/ORANGE,2847,,,
2848,GREEN/BLACK/LILA/ORANGE,2848,,,
2849,ECRU/BLACK/RED,2849,,,
2850,TIEPRINT EMERALD/GREEN/ECRU,2850,,,
2851,MARIGOLD/ECRU,2851,,,
2852,"COCONUTS COATED ORANGE/GOLD COAST YELLOW
",2852,,,
2853,COCONUTS BLACK/ECRU/JUNIPER,2853,,,
2854,COCONUTS BLACK/PEACH/GREENERY,2854,,,
2855,COCONUTS ANKARA RED/BLUE/SALMON,2855,,,
2856,COCONUTS ANTIQUE ECRU/PINK/MILITARY,2856,,,
2857,COCONUTS BURNT MAROON/MYSTIQUE GREEN,2857,,,
2858,COCONUTS REDDISH CLAY/ECRU/INDIGO,2858,,,
2859,CARIBE TROPICAL - CARIBE,2859,,,
2860,TOILE BURNT MAROON/BLACK/ECRU,2860,,,
2861,TOILE RUSSET TERRACOTA/BLACK/ECRU,2861,,,
2862,TOILE MUSTARD ORANGE/ECRU/WINE,2862,,,
2863,TOILE SOFT GUAVA/CHOCOLATE/CORAL,2863,,,
2864,TOILE INDIGO/FESTIVE ORANGE,2864,,,
2865,TOILE ECRU/IVORY COAST/JUNIPER,2865,,,
2866,TOILE CHOCOLATE/GREENERY,2866,,,
2867,TOILE BLACK/DEEP GREEN/MYSTIQUE GREEN,2867,,,
2868,TOILE BLACK/JADE/MUSTARD,2868,,,
2869,TOILE BLACK/GREENERY/ANTIQUE ECRU,2869,,,
2870,MOLA CAMEL/FESTIVE ORANGE/ULTRAVIOLET,2870,,,
2871,MOLA CAMEL/FUSCHIA/ULTRAVIOLET,2871,,,
2872,MOLA BLACK/TEAL WATERS/BLUE WATERS,2872,,,
2873,MOLA BLACK/MILITARY/ECRU,2873,,,
2874,MOLA BLACK/RED PLUM/WASHED TURQUOISE,2874,,,
2875,MOLA BLACK/NEON GREENERY/BLUE,2875,,,
2876,KUNA MUSTARD ORANGE/JUNIPER/GRAY,2876,,,
2877,KUNA BLACK/ANTIQUE ECRU,2877,,,
2878,KUNA INDIGO/FESTIVE ORANGE/TERRACOTA,2878,,,
2879,KUNA CHOCOLATE/SOFT GUAVA/ECRU,2879,,,
2880,KUNA CHOCOLATE/TERRACOTA/ECRU,2880,,,
2881,KUBA ANKARA RED/ECRU,2881,,,
2882,KUBA EMERALD/ANTIQUE ECRU,2882,,,
2883,KUBA MIDNIGHT BLUE/FESTIVE ORANGE,2883,,,
2884,KUBA BLACK/ECRU,2884,,,
2885,KUBA ECRU/BLACK,2885,,,
2886,BEADS BLACK/ECRU/REDDISH CLAY,2886,,,
2887,BEADS BLACK/OLD LAVENDER/ORANGE,2887,,,
2888,BEADS TERRACOTA/WINE/HONEY PEACH,2888,,,
2889,TRIBAL ECRU/BLACK,2889,,,
2890,TRIBAL CHOCOLATE/ECRU/BLACK,2890,,,
2891,TRIBAL BLACK/ECRU,2891,,,
2892,TRIBAL JUNIPER/BLACK/ECRU,2892,,,
2893,TRIBAL SOFT GUAVA/HONEY PEACH/BLACK,2893,,,
2894,"NAVY BLUE/CAMEL
",2894,,,
2895,TOBACCO/CAMEL,2895,,,
2896,MUSTARD/CAMEL,2896,,,
2897,FADED ROSE/CAMEL/ECRU,2897,,,
2898,RUST/ECRU,2898,,,
2899,"OLD MAGENTA/CAMEL
",2899,,,
2900,FADED ROSE/CAMEL,2900,,,
2901,ANTIQUE JADE/CAMEL,2901,,,
2902,VINTAGE BLUE/CAMEL,2902,,,
2903,OLD MAGENTA/ECRU,2903,,,
2904,NAVY BLUE/NATURAL,2904,,,
2905,FADED ROSE/NATURAL,2905,,,
2906,ANTIQUE JADE/NATURAL,2906,,,
2907,ANTIQUE JADE/OLIVE,2907,,,
2908,OLIVE/MUSTARD/NATURAL,2908,,,
2909,NAVY BLUE/VINTAGE BLUE/NATURAL,2909,,,
2910,NAVY BLUE/TERRACOTA/NATURAL,2910,,,
2911,ANTIQUE JADE/MUSTARD/NATURAL,2911,,,
2912,TERRACOTA/NOGAL,2912,,,
2913,NAVY BLUE/NOGAL,2913,,,
2914,OLIVE/NOGAL,2914,,,
2915,OLD MAGENTA/NATURAL,2915,,,
2916,OLIVE/MAGENTA/NATURAL,2916,,,
2917,NAVY BLUE/RUST / ECRU,2917,,,
2918,VINTAGE BLUE/NAVY BLUE/NATURAL,2918,,,
2919,VINTAGE BLUE/RUST/ECRU,2919,,,
2920,MUSTARD/ANTIQUE JADE/NATURAL,2920,,,
2921,TOBACCO/ECRU,2921,,,
2922,NAVY BLUE/ECRU,2922,,,
2923,MUSTARD/OLIVE,2923,,,
2924,OLIVE/OLD MAGENTA/ECRU,2924,,,
2925,VINTAGE BLUE/RUST,2925,,,
2926,OLD MAGENTA/RUST/NATURAL,2926,,,
2927,NAVY BLUE/RUST/NATURAL,2927,,,
2928,ECRU/VINTAGE BLUE/RUST,2928,,,
2929,MUSTARD/ANTIQUE JAD/ECRU,2929,,,
2930,ECRU/OLIVE/OLD MAGENTA,2930,,,
2931,OLIVE/CARAMEL,2931,,,
2932,NAVY BLUE/CARAMEL,2932,,,
2933,TERRACOTA/CARAMEL,2933,,,
2934,TRANSPARENT/SILVER,2934,,,
2935,BLACK/BROWN,2935,,,
2936,CARIBE,2936,,,
2937,TOILE BLACK/NEON GREENERY/BLUE,2937,,,
2938,TIEPRINT BLACK/CARAMEL/ECRU,2938,,,
2939,MYSTIQUE EMERALD,2939,,,
2940,FUCSHIA,2940,,,
2941,KENTE JUNIPER,2941,,,
2942,TOILE BLACK/RED PLUM/WASHED TURQUOISE,2942,,,
2943,RED PLUM,2943,,,
2944,ANKARA RED,2944,,,
2945,FESTIVE ORANGE,2945,,,
2946,CADMIUM MUSTARD,2946,,,
2947,BURNT MAROON,2947,,,
2948,REDDISH CLAY,2948,,,
2949,DEEP GREEN,2949,,,
2950,ECRU/BLACK/MARSALA,2950,,,
2951,MILITARY OLIVE,2951,,,
2952,MILITARY OLIVE/BLACK/ECRU,2952,,,
2953,CHOCOLATE BROWN,2953,,,
2954,ANCIENT CHARCOAL/TANGERINE SUNSET,2954,,,
2955,FESTIVE ORANGE/FUCSHIA,2955,,,
2956,ANCIENT CHARCOAL/RELAXED GREENERY,2956,,,
2957,IVORY COAST/MULTICOLOR,2957,,,
2958,TROPICAL ORCHID/MULTICOLOR,2958,,,
2959,KENTE JUNIPER/MULTICOLOR,2959,,,
2960,ANKARA RED/BURGUNDY/BLACK,2960,,,
2961,ECRU/BLACK/CHOCOLATE BROWN,2961,,,
2962,GOLD COAST YELLOW/BLACK/CHOCOLATE BROWN,2962,,,
2963,DEEP GREEN/BLACK/RUST,2963,,,
2964,REDDISH CLAY/BLACK,2964,,,
2965,SILVER/BLACK,2965,,,
2966,BEIGE/BLACK,2966,,,
2967,FESTIVE ORANGE/BLACK,2967,,,
2968,BURNT MAROON/BLACK,2968,,,
2969,KENTE JUNIPER/BLACK,2969,,,
2970,GOLD/ECRU,2970,,,
2971,MARSALA/BLACK/ECRU,2971,,,
2972,MIDNIGHT BLUE/BLACK/ECRU,2972,,,
2973,BLACK/LILA/ORANGE/RELAXED GREENERY,2973,,,
2974,ECRU/ORANGE/BLACK/FUCSHIA,2974,,,
2975,TROPICAL ORCHID,2975,,,
2976,RELAXED GREENERY,2976,,,
2977,RUSSET TERRACOTA,2977,,,
2978,DEEP GREEN/ECRU,2978,,,
2979,BLACK/DEEP GREEN,2979,,,
2980,BLACK/ECRU/TANGERINE/GREEN,2980,,,
2981,ECLECTIC VIOLET,2981,,,
2982,VIVID LAVENDER,2982,,,
2983,BLACK/ECRU/CAMEL,2983,,,
2984,DEEP GREEN/ECRU/BLACK,2984,,,
2985,BLACK/ECRU/NATURAL,2985,,,
2986,MUSTARD/DEEP GREEN/NATURAL,2986,,,
2987,CAMEL/ANKARA RED/NATURAL,2987,,,
2988,ANCIENT CHARCOAL,2988,,,
2989,RUSSET TERRACOTA/WASHED TURQUOISE/BLACK/ECRU,2989,,,
2990,REDDISH CLAY/TANGERINE SUNSET/BLACK,2990,,,
2991,MYSTIQUE EMERALD/ECRU,2991,,,
2992,DEEP GREEN/RUST/BLACK/ECRU,2992,,,
2993,DEEP GREEN/LILA/BLACK,2993,,,
2994,BLACK/MUSTARD/ECRU,2994,,,
2995,NOGAL/ECRU/BLACK,2995,,,
2996,SOFT GUAVA,2996,,,
2997,REDDISH CLAY/ECRU,2997,,,
2998,BEIGE/ECRU,2998,,,
2999,KENTE JUNIPER/ECRU,2999,,,
3000,CONGO ECRU/BLACK/JUNIPER GREEN,3000,,,
3001,CONGO BLACK/CHOCOLATE/PINK,3001,,,
3002,CONGO MIDNIGHT BLUE/ECRU,3002,,,
3003,CONGO YELLOW/DEEP GREEN/FUCSIA,3003,,,
3004,CONGO SOFT GUAVA/RED PLUM,3004,,,
3005,CONGO CLAY/BLACK/GRAY INDIGO,3005,,,
3006,KUBANKYOTO BLACK/ECRU/CHOCOLATE,3006,,,
3007,KUBANKYOTO HONEY PEACH/EMERALD/LILA,3007,,,
3008,KUBANKYOTO WASHED BLUE/BROWN/YELLOW,3008,,,
3009,KUBANKYOTO HONEY PEACH/BROWN/RED,3009,,,
3010,KIMONO BLACK/ECRU,3010,,,
3011,KIMONO GREEN/ECRU,3011,,,
3012,KIMONO ECRU/NAVY,3012,,,
3013,KIMONO HONEY PEACH/ORANGE,3013,,,
3014,KIMONO GREEN/YELLOW,3014,,,
3015,KIMONO MAROON/YELLOW,3015,,,
3016,KIMONO BROWN/PINK,3016,,,
3017,KIMONO CAMEL/FUCSIA,3017,,,
3018,KIMONO FUCSIA/WINE,3018,,,
3019,ANKARA LILAC/BLACK/SAND,3019,,,
3020,ANKARA TERRACOTA/BLACK/SOFT PINK,3020,,,
3021,ANKARA GREEN/BLACK/SAND,3021,,,
3022,ANKARA RED/BLACK/INDIGO,3022,,,
3023,ANKARA INDIGO/BLACK/ORANGE MONK,3023,,,
3024,ANKARA RED/BLACK/ORANGE MONK,3024,,,
3025,ANKARA ORANGE/BLACK/FUCSIA,3025,,,
3026,KASURI BLACK/ECRU,3026,,,
3027,KASURI CHOCOLATE/PINK,3027,,,
3028,KASURI MAROON/MUSTARD,3028,,,
3029,KASURI MAROON/MINT,3029,,,
3030,KASURI ECRU/TERRACOTA,3030,,,
3031,KASURI ORANGE/CELESTE,3031,,,
3032,KASURI FUCSIA/EMERALD,3032,,,
3033,ORINOCO PEACH/RUST,3033,,,
3034,ORINOCO ANKARA RED/ECRU,3034,,,
3035,ORINOCO RUST/FUCSIA,3035,,,
3036,ORINOCO ECRU/JUNIPER GREEN,3036,,,
3037,ORINOCO NAVY/ECRU,3037,,,
3038,ORINOCO WINE/AMAZONITE BLUE,3038,,,
3039,TRIBAL BLACK/ECRU,3039,,,
3040,TRIBAL JUNIPER GREEN/ECRU,3040,,,
3041,TRIBAL WINE/AMAZONITE BLUE,3041,,,
3042,TRIBAL TERRACOTA/PEACH,3042,,,
3043,TRIBAL BROWN/ORANGE,3043,,,
3044,TRIBAL BLACK/FUCSIA,3044,,,
3045,BEADS ECRU/BLACK/MINT,3045,,,
3046,BEADS JUNIPER GREEN/BLACK/MUSTARD,3046,,,
3047,BEADS FUCSIA/WINE/PEACH,3047,,,
3048,BEADS CLAY/GRAY BLUE/BLACK,3048,,,
3049,IVORY COAST,3049,,,
3050,BURNISHED CAMEL,3050,,,
3051,RUSTY MARSALA,3051,,,
3052,LIGHT PEACH,3052,,,
3053,TANGERINE SUNSET,3053,,,
3054,GOLD COAST YELLOW,3054,,,
3055,MUSTARD ORANGE,3055,,,
3056,NAMIB DESERT,3056,,,
3057,COATED ORANGE,3057,,,
3058,HONEY PEACH,3058,,,
3059,INTENSE SALMON,3059,,,
3060,EUPHORIC LILAC,3060,,,
3061,TEAL WATERS,3061,,,
3062,WASHED TURQUOISE,3062,,,
3063,AMAZONITE BLUE,3063,,,
3064,INTENSE BLUE,3064,,,
3065,ADIRE INDIGO,3065,,,
3066,GRAY INDIGO,3066,,,
3067,ULTRA VIOLET,3067,,,
3068,TROPICAL GEMSTONES CARAMEL,3068,,,
3069,TROPICAL GEMSTONES EMERALD,3069,,,
3070,TROPICAL GEMSTONES CENDRE BLUE,3070,,,
3071,TROPICAL GEMSTONES FUCSIA,3071,,,
3072,TROPICAL GEMSTONES MONK ORANGE,3072,,,
3073,TROPICAL GEMSTONES ROOIBOS LILAC,3073,,,
3074,BLACK/VERDE,3074,,,
3075,ECRU/SALMON,3075,,,
3076,KUBANKYOTO HONEY PEACH/CUBAN/RED,3076,,,
3077,KUBANKYOTO HONEY PEACH/EMERALD/LILAC,3077,,,
3078,EMERALD/GOLD,3078,,,
3079,CHOCOLATE/GOLD,3079,,,
3080,FOREST,3080,,,
3081,BEADS ECRU/BLACK/MIND,3081,,,
3082,RUST/ECRU/CHOCOLATE,3082,,,
3083,ULTRA VIOLET/NATURAL,3083,,,
3084,MILITARY OLIVE/NATURAL,3084,,,
3085,MONK ORANGE/NATURAL,3085,,,
3086,EMERALD/NATURAL,3086,,,
3087,ADIRE INDIGO/NATURAL,3087,,,
3088,BLACK/ECRU/LILA/TERRACOTA,3088,,,
3089,CENDRE BLUE,3089,,,
3090,CARAMEL/BLACK/ECRU,3090,,,
3091,ROOIBOS/FRAGRANT LILAC,3091,,,
3092,BLACK/ORANGE/INDIGO,3092,,,
3093,BLACK/ECRU/EMERALD/YELLOW,3093,,,
3094,BURNT MAROON/BLACK/ECRU,3094,,,
3095,BLACK/MUSTARD,3095,,,
3096,BLACK/CHOCOLATE,3096,,,
3097,BEIGE/REDDISH CLAY,3097,,,
3098,CHOCOLATE BROWN/ BLACK,3098,,,
3099,EMERALD GREEN/LILA,3099,,,
3100,MARSALA/WASHED TURQUOISE,3100,,,
3101,EUPHORIC LILAC/EMERALD,3101,,,
3102,CONGO NAVY/ECRU,3102,,,
3103,KUNA CHOCOLATE/JUNIPER/ECRU,3103,,,
3104,KUNA CHOCOLATE/LILAC/ECRU,3104,,,
3105,KUNA CHOCOLATE/GUAVA/ECRU,3105,,,
3106,COPPER/BLACK,3106,,,
3107,BLACK/COPPER,3107,,,
3108,BURNISHED CAMEL/ECRU,3108,,,
3109,ECRU/BRONZE,3109,,,
3110,BLACK/MILITARY OLIVE,3110,,,
3111,MARSALA/CELESTE BLUE,3111,,,
3112,WINE/ECRU,3112,,,
3113,BLACK/BRONZE,3113,,,
3114,MARSALA/EMERALD,3114,,,
3115,BLACK/ORANGE MONK,3115,,,
3116,ROOIBOS/FUCSIA,3116,,,
3117,ROOIBOS/EMERALD,3117,,,
3118,BROWN/BLACK/COPPER,3118,,,
3119,BLACK/WINE,3119,,,
3120,PALM ECRU/RED/GREEN,3120,,,
3121,JADE/CHOCOLATE,3121,,,
3122,BLACK/TERRACOTA/ECRU,3122,,,
3123,SERENE SAND,3123,,,
3124,LIGHT OCHRE,3124,,,
3125,BEIGE FOSSIL,3125,,,
3126,BURNT HAZELNUT,3126,,,
3127,MOUNTAIN SUNRISE,3127,,,
3128,SEVILLA YELLOW,3128,,,
3129,TIBETAN RHUBARD,3129,,,
3130,STRONG CINAMMON,3130,,,
3131,ORANGE TIGER,3131,,,
3132,ROJO FLAMENCO,3132,,,
3133,WINE MADDER,3133,,,
3134,GINGER SPICE,3134,,,
3135,GUANE CLAY,3135,,,
3136,REDDISH STONE,3136,,,
3137,CAVE TERRACOTA,3137,,,
3138,PECAN BURGUNDY,3138,,,
3139,RUPESTRE MAROON,3139,,,
3140,ICONIC BLACK,3140,,,
3141,SALMON QUARTZ,3141,,,
3142,DANCE BLUSH,3142,,,
3143,AURORA PINK,3143,,,
3144,TOURMALINE PINK,3144,,,
3145,FESTIVE AMETHYST,3145,,,
3146,IBERIAN ORCHID,3146,,,
3147,FIERCE VIOLET,3147,,,
3148,GRAYISH GRAPE,3148,,,
3149,ARABESQUE MAGENTA,3149,,,
3150,GITANA WINE,3150,,,
3151,MAHOGANY,3151,,,
3152,ANCIENT INDIGO,3152,,,
3153,GRAYISH SAPPHIRINE,3153,,,
3154,DHARMA SKY,3154,,,
3155,MARINE COBALT,3155,,,
3156,PURE CYAN,3156,,,
3157,SOFT TURQUOISE,3157,,,
3158,VIBRANT SAGE,3158,,,
3159,GARDEN TEAL,3159,,,
3160,FESTIVE EMERALD,3160,,,
3161,PINE GREEN,3161,,,
3162,JUNGLE EMERALD,3162,,,
3163,MIDNIGHT GREEN,3163,,,
3164,TIGER SALMON/ORANGE,3164,,,
3165,TIGER DANCE BLUSH/ORANGE,3165,,,
3166,TIGER RED/DANCE BLUSH,3166,,,
3167,TIGER AURORA PINK/LIGHT OCRE,3167,,,
3168,TIGER MAGENTA/BEIGE FOSSIL,3168,,,
3169,TIGER ECRU/IBERIAN ORCHID/TEAL,3169,,,
3170,TIGER PINE GREEN/VIOLET,3170,,,
3171,TIGER REDDISH STONE/GARDEN TEAL,3171,,,
3172,TIGER GITANA WINE/FOREST GREEN,3172,,,
3173,TIGER MAHOGANY/PURE CYAN,3173,,,
3174,TIGER GINGER SPICE/JUNGLE EMERALD,3174,,,
3175,TIGER GARDEN TEAL/ANTIQUE ECRU,3175,,,
3176,TIGER BEIGE FOSSIL/SEVILLA YELLOW,3176,,,
3177,TIGER JUNGLE EMERALD/CAVE TERRACOTA,3177,,,
3178,FOSSIL BLACK/ECRU,3178,,,
3179,FOSSIL ECRU/BLACK,3179,,,
3180,FOSSIL MAHOGANY/ECRU,3180,,,
3181,FOSSIL RUPESTRE MAROON/BLACK,3181,,,
3182,FOSSIL SALMON QUARTZ/WINE MADDER,3182,,,
3183,FOSSIL TURQUOISE/GUANE CLAY,3183,,,
3184,FOSSIL PURE CYAN/GUANE CLAY,3184,,,
3185,FOSSIL ECRU/JUNGLE EMERALD,3185,,,
3186,MUSA ECRU/BLACK,3186,,,
3187,MUSA SAND/MAROON,3187,,,
3188,MUSA OCRE/CINNAMON,3188,,,
3189,MUSA ECRU/VIOLET,3189,,,
3190,MUSA BLACK/ECRU/VIOLET,3190,,,
3191,MUSA BLACK/MAGENTA,3191,,,
3192,MUSA BLACK/ECRU/GRAYISH GRAPE,3192,,,
3193,MUSA GITANA WINE/GINGER SPICE,3193,,,
3194,MUSA GRAYISH GRAPE/MIDNIGHT GREEN,3194,,,
3195,MUSA FOREST GREEN/PECAN,3195,,,
3196,MUSA VIBRANT SAGE/VIOLET,3196,,,
3197,MUSA ECRU/FOREST GREEN,3197,,,
3198,TIBETAN MAGENTA/ECRU,3198,,,
3199,TIBETAN CAVE TERRACOTA/ECRU,3199,,,
3200,TIBETAN TURQUOISE/ECRU,3200,,,
3201,TIBETAN MIDNIGHT GREEN/ECRU,3201,,,
3202,TIBETAN MAHOGANY/GRAYISH GRAPE,3202,,,
3203,TIBETAN MIDNIGHT GREEN/GRAYISH GRAPE,3203,,,
3204,PALMS MADDER/ROJO,3204,,,
3205,PALMS ORANGE/PECAN,3205,,,
3206,PALMS SALMON/ECRU,3206,,,
3207,PALMS CLAY/ECRU,3207,,,
3208,PALMS GINGER/GREEN,3208,,,
3209,PALMS MAROON/GREEN,3209,,,
3210,PALMS EMERALD/WINE,3210,,,
3211,PALMS SAPPHIRINE/LIGHT OCRE,3211,,,
3212,PALMS ECRU/MAHOGANY,3212,,,
3213,PALMS ECRU/YELLOW,3213,,,
3214,PALMS ECRU/FESTIVE EMERALD,3214,,,
3215,PALMS ORCHID/ECRU,3215,,,
3216,PALMS VIOLET/VIBRANT SAGE,3216,,,
3217,PALMS DARK CHOCOLATE/TURQUOISE,3217,,,
3218,TYE DYE ECRU/REDDISH STONE,3218,,,
3219,TYE DYE STRONG CINNAMON/WINE,3219,,,
3220,TYE DYE MAHOGANY/TOURMALINE PINK,3220,,,
3221,TYE DYE JUNGLE EMERALD/MOUNTAIN SUNRISE,3221,,,
3222,TYE DYE FESTIVE EMERALD/MIDNIGHT GREEN,3222,,,
3223,AMPHORA TOURMALINE PINK/GINGER SPICE,3223,,,
3224,AMPHORA ROJO/ORANGE TIGER,3224,,,
3225,AMPHORA GRAYISH GRAPE/LIGHT OCRE,3225,,,
3226,AMPHORA PINE GREEN/LIGHT OCRE,3226,,,
3227,AMPHORA MARINE COBALT/GITANA WINE,3227,,,
3228,AMPHORA TURQUOISE/REDDISH STONE,3228,,,
3229,AMPHORA SEVILLA YELLOW/ANCIENT INDIGO,3229,,,
3230,DOTS ECRU/FOREST GREEN,3230,,,
3231,DOTS SERENE SAND/FOREST GREEN,3231,,,
3232,DOTS SERENE SAND/BLACK,3232,,,
3233,NATURAL/BURNT MAROON,3233,,,
3234,NATURAL/LILA,3234,,,
3235,NATURAL/REDDISH STONE,3235,,,
3236,NATUTAL/TOURMALINE PINK,3236,,,
3237,NATURAL/GOLD,3237,,,
3238,GOLD/SILVER,3238,,,
3239,DANCE BLUSH ORANGE,3239,,,
3240,BLACK/ECRU/VIOLET,3240,,,
3241,GREEN/BLACK,3241,,,
3242,RED/ORANGE/ECRU,3242,,,
3243,CURUBA/WINE,3243,,,
3244,PINE GREEN/VIOLET,3244,,,
3245,SAGE/VIOLET,3245,,,
3246,RED/DANCE BLUSH,3246,,,
3247,BURNT MAROON/NATURAL,3247,,,
3248,LILA/PINE GREEN/NATURAL,3248,,,
3249,REDDISH STONE/ECRU/NATURAL,3249,,,
3250,ECRU/BLACK/NATURAL,3250,,,
3251,SILVER/GOLD/NATURAL,3251,,,
3252,BURNT MAROON/GOLD/NATURAL,3252,,,
3253,ORANGE TIGER/SILVER/NATURAL,3253,,,
3254,COPPER/DARK CHOCOLATE,3254,,,
3255,REDDISH STONE/SALMON,3255,,,
3256,GOLD/SILVER/NATURAL,3256,,,
3257,NUDE/SILVER/NATURAL,3257,,,
3258,NUDE/COPPER,3258,,,
3259,BURNT MAROON/GOLD,3259,,,
3260,EMERALD/MIND,3260,,,
3261,NUDE/SILVER,3261,,,
3262,JUNGLE EMERALD/ECRU,3262,,,
3263,BLACK/RUPESTRE MAROON/ECRU,3263,,,
3264,GITANA WINE/BLACK/ECRU,3264,,,
3265,ROJO FLAMENCO/MONK ORANGE,3265,,,
3266,NEON PINK,3266,,,
3267,BURNT MAROON/ECRU,3267,,,
3268,BLACK/ECRU/JUNGLE EMERALD,3268,,,
3269,ECRU/GOLD,3269,,,
3270,ECRU/FIERCE VIOLET,3270,,,
3271,ANCIENT INDIIGO,3271,,,
3272,WINE/PURPLE,3272,,,
3273,MARSALA/PINK,3273,,,
3274,DARK GREY/PINK,3274,,,
3275,PINE GREEN/AURORA PINK/GOLD,3275,,,
3276,DARK CHOCOLATE/ECRU/GOLD,3276,,,
3277,ANCIENT INDIGO/WINE/GOLD,3277,,,
3278,REDDISH STONE/ORANGE/GOLD,3278,,,
3279,ACQUA/BROWN/ANTIQUE ECRU,3279,,,
3280,PURPLE/GREEN/ECRU,3280,,,
3281,BROWN/SKY BLUE/YELLOW,3281,,,
3282,LAVANDA/ECRU/ORANGE,3282,,,
3283,MARSALA/GREEN/ECRU,3283,,,
3284,PINE GREEN/ECRU,3284,,,
3285,REDDISH STONE/ECRU,3285,,,
3286,WINE MADDER/ECRU/TURQUOISE,3286,,,
3287,"CAVE TERRACOTA/LIGHT OCHRE/MIDNIGHT GREEN
",3287,,,
3288,"REDDISH STONE/LIGHT OCHRE/BLACK
",3288,,,
3289,ROJO FAMENCO/ANTIQUE ECRU,3289,,,
3290,PECAN BURGUNDY/ECRU,3290,,,
3291,JUNGLE EMERALD/LILA,3291,,,
3292,BLACK/SILVER/GOLD,3292,,,
3293,CELESTE/ECRU/SALMON,3293,,,
3294,CAMEL/BEIGE,3294,,,
3295,WINE MADDER/DANCE BLUSH,3295,,,
3296,JUNGLE EMERALD/LAVANDER,3296,,,
3297,MILITARY/BLACK/ORANGE,3297,,,
3298,SAMOA ECRU/BROWN/GREEN,3298,,,
3299,GREEN/PINK/TERRACOTA,3299,,,
3300,CUZCO RUBY CERISE/WINE/ECRU,3300,,,
3301,CUZCO RUBY CERISE/ECRU,3301,,,
3302,CUZCO HAZEL/ECRU/PINK,3302,,,
3303,CUZCO ECRU/RED/PINK,3303,,,
3304,CUZCO SAND/WINE/COBALT,3304,,,
3305,CUZCO SAND/COBALT/WINE,3305,,,
3306,CUZCO ECRU/GREEN,3306,,,
3307,CUZCO COBALT/ECRU/WINE,3307,,,
3308,CUZCO ECRU/BLACK,3308,,,
3309,CUZCO BEIGE/ECRU/GREEN,3309,,,
3310,QUECHUA RUBYCERISE/VELVET/BEIGE,3310,,,
3311,QUECHUA ECRU/TERRACOTA/LILAC,3311,,,
3312,QUECHUA TERRACOTA/LILAC/HAZEL,3312,,,
3313,QUECHUA MUSTARD/ORANGE/TERRACOTA,3313,,,
3314,QUECHUA OLIVE/HAZEL/BEIGE,3314,,,
3315,QUECHUA GREEN/OLIVE/MINT,3315,,,
3316,ANDEAN RUBY CERISE/ECRU,3316,,,
3317,ANDEAN ECRU/RUBY CERISE,3317,,,
3318,ANDEAN WINE/RUBY CERISE,3318,,,
3319,ANDEAN RED/MUSTARD,3319,,,
